GEOID,STATEFP,STATE,COUNTYFP,COUNTY,POP_25OV22,N_HSDIP22,HS_DIP22,SOM_COLL22,ASSO_DEG22,BACH_DEG22,MAST_DEG22,PROF_DEG22,DOCT_DEG22
26159010101,26, Michigan,159, Van Buren County,3002,356,1129,695,312,310,185,3,12
26159010102,26, Michigan,159, Van Buren County,1897,113,664,406,274,287,125,27,1
26159010201,26, Michigan,159, Van Buren County,2278,311,624,636,271,226,184,19,7
26159010202,26, Michigan,159, Van Buren County,1590,193,820,226,121,155,43,25,7
26159010300,26, Michigan,159, Van Buren County,1654,85,349,275,173,411,260,85,16
26159010400,26, Michigan,159, Van Buren County,1863,194,483,497,139,275,214,26,35
26159010500,26, Michigan,159, Van Buren County,2584,480,832,570,285,244,123,50,0
26159010600,26, Michigan,159, Van Buren County,1665,496,557,358,62,134,44,14,0
26159010901,26, Michigan,159, Van Buren County,2543,136,895,586,327,484,95,10,10
26159010902,26, Michigan,159, Van Buren County,2843,78,870,465,307,685,347,81,10
26159011003,26, Michigan,159, Van Buren County,2541,107,557,802,266,454,331,9,15
26159011004,26, Michigan,159, Van Buren County,2730,297,998,645,294,363,89,25,19
26159011300,26, Michigan,159, Van Buren County,2880,562,885,804,219,276,81,38,15
26159011400,26, Michigan,159, Van Buren County,2989,698,1257,597,202,178,57,0,0
26159011500,26, Michigan,159, Van Buren County,2619,283,897,525,281,432,143,29,29
26159011601,26, Michigan,159, Van Buren County,2853,310,911,654,434,367,130,14,33
26159011602,26, Michigan,159, Van Buren County,1617,31,468,427,212,297,159,8,15
26159011801,26, Michigan,159, Van Buren County,1516,178,430,330,102,331,134,11,0
26159011802,26, Michigan,159, Van Buren County,3012,299,1060,870,370,314,87,12,0
26159011900,26, Michigan,159, Van Buren County,3771,174,1071,1031,274,820,305,17,79
26159012001,26, Michigan,159, Van Buren County,2683,527,905,567,259,254,96,70,5
26159012002,26, Michigan,159, Van Buren County,1136,139,411,294,88,126,71,5,2
