GEOID,STATEFP,STATE,COUNTYFP,COUNTY,MEDN_INC22,TOT_HOUS22,LESS_10K22,10K_15K22,15K_20K22,20K_25K22,25K_30K22,30K_35K22,35K_40K22,40K_45K22,45K_50K22,50K_60K22,60K_75K22,75K_100K22,100_125K22,125_150K22,150_200K22,200K_MOR22
260270010001,26, Michigan,027, Cass County,93788.0,480,0,8,18,11,0,18,0,10,36,9,84,79,76,25,21,85
260270010002,26, Michigan,027, Cass County,85905.0,637,15,0,36,9,7,25,26,16,32,24,82,100,111,48,53,53
260270010003,26, Michigan,027, Cass County,63882.0,539,38,0,25,16,9,22,9,67,0,73,34,138,23,10,37,38
260270011001,26, Michigan,027, Cass County,36386.0,495,57,8,40,31,54,32,60,4,19,27,43,48,41,12,10,9
260270011002,26, Michigan,027, Cass County,91007.0,561,15,20,16,9,5,18,17,19,33,27,59,72,72,86,71,22
260270012001,26, Michigan,027, Cass County,97583.0,755,0,9,65,0,40,31,53,11,0,59,50,74,85,26,114,138
260270012002,26, Michigan,027, Cass County,93050.0,565,0,0,22,11,7,16,82,12,17,37,26,81,36,58,81,79
260270015001,26, Michigan,027, Cass County,,281,0,8,0,13,13,20,38,24,26,0,31,21,18,0,69,0
260270015002,26, Michigan,027, Cass County,83906.0,284,0,0,0,47,17,10,20,0,0,8,31,43,90,0,8,10
260270015003,26, Michigan,027, Cass County,67458.0,451,39,31,8,0,0,24,9,0,8,64,53,48,47,15,23,82
260270015004,26, Michigan,027, Cass County,56429.0,388,21,0,34,0,46,9,16,11,20,102,16,36,37,40,0,0
260270016001,26, Michigan,027, Cass County,65294.0,350,1,5,20,6,18,23,21,15,16,38,34,63,16,21,35,18
260270016002,26, Michigan,027, Cass County,99408.0,593,26,8,3,0,14,18,16,21,21,29,48,97,55,20,145,72
260270016003,26, Michigan,027, Cass County,62750.0,202,0,10,22,30,8,0,0,5,2,23,13,25,35,7,10,12
260270016004,26, Michigan,027, Cass County,72708.0,352,32,36,7,10,10,3,9,5,6,11,58,86,57,11,6,5
260270017011,26, Michigan,027, Cass County,67917.0,470,15,21,0,20,10,18,40,6,39,39,49,93,51,35,18,16
260270017012,26, Michigan,027, Cass County,62321.0,169,0,6,0,12,17,7,8,0,10,18,12,23,24,12,20,0
260270017013,26, Michigan,027, Cass County,66553.0,457,13,10,2,12,12,42,11,51,37,10,74,107,12,9,47,8
260270017021,26, Michigan,027, Cass County,82063.0,431,14,17,0,26,0,23,4,33,35,29,15,79,49,31,43,33
260270017022,26, Michigan,027, Cass County,67969.0,477,27,3,24,3,50,10,26,8,14,64,52,79,32,36,25,24
260270018011,26, Michigan,027, Cass County,123112.0,684,11,4,10,7,9,25,8,15,32,29,60,36,167,62,92,117
260270018012,26, Michigan,027, Cass County,95865.0,491,10,0,13,13,0,9,21,6,21,49,46,66,29,38,97,73
260270018021,26, Michigan,027, Cass County,48576.0,653,13,7,87,28,31,55,37,45,44,104,35,55,30,39,42,1
260270018022,26, Michigan,027, Cass County,85150.0,255,10,19,5,4,9,9,5,10,10,6,16,58,25,30,8,31
260270018023,26, Michigan,027, Cass County,59191.0,456,20,2,22,0,24,34,6,54,15,62,43,60,53,18,28,15
260270018024,26, Michigan,027, Cass County,58482.0,526,14,0,0,44,39,9,0,56,44,91,34,57,74,17,47,0
260270019011,26, Michigan,027, Cass County,62767.0,721,54,24,38,9,49,34,25,12,43,63,108,142,19,41,37,23
260270019012,26, Michigan,027, Cass County,63662.0,554,45,38,22,0,22,37,27,0,10,11,168,67,30,13,24,40
260270019021,26, Michigan,027, Cass County,91500.0,586,33,18,18,13,26,15,23,0,46,37,12,56,43,60,25,161
260270019022,26, Michigan,027, Cass County,65500.0,358,8,0,13,0,10,11,49,19,32,34,51,38,25,29,39,0
260270020001,26, Michigan,027, Cass County,64063.0,356,54,4,15,39,18,7,3,18,0,3,37,46,29,16,22,45
260270020002,26, Michigan,027, Cass County,69821.0,181,13,0,4,5,0,8,9,0,7,25,20,17,41,12,15,5
260270020003,26, Michigan,027, Cass County,41964.0,327,4,5,32,18,13,60,15,21,27,26,26,51,10,19,0,0
260270020004,26, Michigan,027, Cass County,26215.0,317,29,69,18,25,36,0,0,43,0,26,9,50,0,0,0,12
260270020005,26, Michigan,027, Cass County,46637.0,653,6,46,78,15,0,10,33,111,87,68,0,3,56,14,121,5
260270021001,26, Michigan,027, Cass County,35179.0,399,33,44,19,36,2,65,15,25,16,12,26,37,52,12,4,1
260270021002,26, Michigan,027, Cass County,57083.0,583,53,20,6,28,20,49,13,53,38,15,21,68,28,39,119,13
260270021003,26, Michigan,027, Cass County,54519.0,681,22,13,7,3,44,52,50,57,31,92,39,52,64,69,24,62
260270021004,26, Michigan,027, Cass County,36800.0,802,120,93,16,47,66,41,25,14,41,15,137,88,37,1,15,46
260270022011,26, Michigan,027, Cass County,36977.0,517,31,20,37,0,39,88,55,13,55,11,74,59,10,10,15,0
260270022012,26, Michigan,027, Cass County,58000.0,432,4,25,12,36,53,5,10,0,24,59,39,29,48,35,42,11
260270022021,26, Michigan,027, Cass County,61974.0,390,31,0,5,5,4,22,32,24,11,46,53,24,44,26,39,24
260270022022,26, Michigan,027, Cass County,116319.0,431,12,0,0,36,15,21,0,18,0,10,61,18,33,118,46,43
260270022023,26, Michigan,027, Cass County,67096.0,489,129,0,14,0,11,62,0,0,0,0,68,39,76,42,34,14
261319701001,26, Michigan,131, Ontonagon County,50000.0,528,26,36,12,36,36,25,54,9,30,63,29,100,23,22,16,11
261319701002,26, Michigan,131, Ontonagon County,48500.0,256,14,14,5,10,16,18,16,25,13,29,26,27,18,9,5,11
261319702001,26, Michigan,131, Ontonagon County,50329.0,667,29,33,45,30,44,37,30,59,24,81,88,78,42,11,29,7
261319702002,26, Michigan,131, Ontonagon County,43750.0,526,25,35,18,62,24,36,31,39,16,29,53,92,54,5,7,0
261319703001,26, Michigan,131, Ontonagon County,47500.0,488,62,16,15,20,28,44,21,24,21,49,36,43,53,29,25,2
261319703002,26, Michigan,131, Ontonagon County,49479.0,407,22,18,33,10,25,25,13,30,30,37,48,49,37,5,10,15
261319901000,26, Michigan,131, Ontonagon County,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261030001001,26, Michigan,103, Marquette County,63556.0,346,12,0,0,12,0,33,37,9,13,0,168,0,39,0,23,0
261030001002,26, Michigan,103, Marquette County,81250.0,651,39,44,9,15,17,19,16,10,28,18,86,139,10,70,37,94
261030002001,26, Michigan,103, Marquette County,60882.0,362,58,0,16,5,5,30,16,5,23,17,29,66,50,16,22,4
261030002002,26, Michigan,103, Marquette County,77227.0,229,0,0,0,9,0,22,0,10,0,5,40,61,47,21,14,0
261030002003,26, Michigan,103, Marquette County,46827.0,366,27,53,20,9,12,12,14,17,43,36,17,23,8,41,18,16
261030003001,26, Michigan,103, Marquette County,72143.0,310,0,11,0,14,24,7,11,20,24,13,44,49,38,55,0,0
261030003002,26, Michigan,103, Marquette County,33851.0,643,128,54,49,10,41,68,9,42,35,20,70,30,40,7,13,27
261030004001,26, Michigan,103, Marquette County,51563.0,289,5,25,33,6,14,5,5,9,10,73,12,41,4,18,15,14
